files                : 12
bytes                : 7354728
blocks above 7.5     : 108 of 122

ext       files          bytes       pct  blk>thr    mean H
.1            1        6621095  90.0250 %       97    7.9384
.EX_          1         320276   4.3547 %        5    7.9645
.LIB          1         280502   3.8139 %        5    7.9744
.INS          1          66661   0.9064 %        1    7.9424
.EXE          2          53120   0.7223 %        0    6.2578
.DLL          1           6128   0.0833 %        0    5.7149
.PKG          1           4513   0.0614 %        0    5.2521
.TXT          1           1967   0.0267 %        0    5.2969
.DIZ          1            400   0.0054 %        0    3.4963
.INI          1             61   0.0008 %        0    4.9244
.ID           1              5   0.0001 %        0    2.3219
