index	size	group	group_name	ext	name
0	493551	0	Group1	EXE	rpg95.exe
1	98281	0	Group1	DLL	unlha32.dll
2	890048	0	Group1	HLP	rpg95.hlp
3	21223	0	Group1	DLL	USER32.DLL
4	1302	1	Group2	TXT	readme.txt
5	4163	1	Group2	DAT	CHARA.DAT
6	604	1	Group2	DAT	EPARTY.DAT
7	93	1	Group2	DAT	EVE99999.DAT
8	1198	1	Group2	DAT	ITEM.DAT
9	1091	1	Group2	DAT	MAGIC.DAT
10	113	1	Group2	ATR	MCHIP0.ATR
11	61	1	Group2	ATR	MCHIP1.ATR
12	72	1	Group2	ATR	MCHIP2.ATR
13	38	1	Group2	ATR	MCHIP3.ATR
14	358271	1	Group2	DAT	MONSTPIC.DAT
15	604	1	Group2	DAT	PARAM.DAT
16	1057	2	Group3	DAT	STRINGS.DAT
17	147734	2	Group3	BMP	chara.bmp
18	130057	2	Group3	BMP	MCHIP0.BMP
19	71163	2	Group3	BMP	MCHIP1.BMP
20	79202	2	Group3	BMP	MCHIP2.BMP
21	58104	3	Group4	BMP	MCHIP3.BMP
22	241493	3	Group4	EXE	game.exe
23	112888	4	Group5	EXE	SETUP.EXE
24	890048	5	Group6	HLP	rpg95.hlp
25	4186	5	Group6	BMP	BG01.BMP
26	82382	5	Group6	BMP	BG02.BMP
27	84863	5	Group6	BMP	BG03.BMP
28	68626	5	Group6	BMP	BG04.BMP
29	70811	5	Group6	BMP	BG05.BMP
30	94851	5	Group6	BMP	BG06.BMP
31	75350	5	Group6	BMP	BG07.BMP
32	53184	5	Group6	BMP	BG08.BMP
33	43161	5	Group6	BMP	BG09.BMP
34	85318	5	Group6	BMP	BG10.BMP
35	23118	5	Group6	BMP	BG11.BMP
36	51151	5	Group6	BMP	BG12.BMP
37	55569	5	Group6	BMP	BG13.BMP
38	40929	5	Group6	BMP	BG14.BMP
39	38538	5	Group6	BMP	BG15.BMP
40	116044	5	Group6	BMP	BG16.BMP
41	44507	5	Group6	BMP	BG17.BMP
42	22850	5	Group6	BMP	BG18.BMP
43	45868	5	Group6	BMP	BG19.BMP
44	79609	6	Group7	BMP	BG20.BMP
45	729	6	Group7	MID	B004A.MID
46	3229	6	Group7	MID	B001B.MID
47	548	6	Group7	MID	B002A.MID
48	4022	6	Group7	MID	B002B.MID
49	859	6	Group7	MID	B003A.MID
50	5028	6	Group7	MID	B003B.MID
51	551	6	Group7	MID	B001A.MID
52	1954	6	Group7	MID	B004B.MID
53	912	6	Group7	MID	C001.MID
54	841	6	Group7	MID	C002.MID
