index	stored	expanded	offset	volume	date	time	attrib	chunk	name
0	4384	19963	255	0	1999-07-12	01:27:30	32	52	SETUP.INI
1	18333	91136	4639	0	1996-10-07	16:01:36	32	53	_ISRES.DLL
2	10981	28160	22972	0	1996-07-22	15:54:36	32	54	_ISUSER.DLL
3	25509	52736	33953	0	1996-12-19	17:34:34	32	55	_ISREG32.DLL
4	124799	299008	59462	0	1996-11-05	16:13:22	32	53	UNINST.EXE
5	4376	16259	184261	0	1996-09-30	13:23:14	32	55	CORECOMP.INI
6	13634	27136	188637	0	1995-07-13	18:46:26	32	54	CTL3D32.DLL
7	6592	12118	202271	0	1999-06-20	20:19:10	32	51	Logo.bmp
8	1302	1967	208863	0	1999-07-12	00:12:50	32	53	readme.txt
9	33356	49622	210165	0	1999-07-12	00:50:42	32	52	title.bmp
10	36385	76978	243521	0	1999-07-12	01:13:06	32	53	setup1.bmp
